train_size,picked_idx,mu_pred,y_true,r2,mse,pear,p_val,acq_val
20,[19],[2.9157],[0.],-0.0354113481311753,84.49608949606869,0.43478278846491,0.0001084432009555614,[-6.6767]
21,[39],[3.85298],[0.],-0.03080620761060704,84.47078067013044,0.435944257219254,0.00011565868323785523,[-5.55563]
22,[76],[1.19675],[0.],-0.03762785803037283,85.36967763844089,0.4324526120472012,0.0001484598059062999,[-5.31956]
23,[20],[0.35283],[0.],0.03411638155368979,79.76993462581214,0.448940115467969,8.60514089395573e-05,[-5.65264]
24,[1],[7.48292],[0.],-0.04432191830991217,86.55927532656985,0.42462241947129004,0.00024862439575771953,[-5.00326]
25,[2],[3.27319],[0.],-0.02831148215845003,85.52100724707223,0.4323633438517472,0.00020724673498375782,[-6.96255]
26,[16],[4.95464],[0.],-0.32973909580865857,110.93753778782356,0.09398047807448298,0.44587842118448073,[-5.41408]
27,[3],[6.65148],[0.],-0.02564633093722901,85.8141222672212,0.42680696674615504,0.000316080086814443,[-4.80031]
28,[75],[-1.81774],[3.92],0.3862879979217064,51.48122679998209,0.6251411883269749,2.0124685611883064e-08,[-4.39741]
29,[27],[1.13164],[0.],-0.031525487309536526,87.53852336262993,0.4259086757057462,0.0004043653016699969,[-5.50826]
30,[93],[6.117],[0.],-0.06790656871691114,90.82892851115972,0.276353438952391,0.02707072560509205,[-5.85526]
31,[43],[1.73115],[14.91],-0.043711030415301,88.93747539189764,0.3255637116305168,0.009222675024440161,[-8.60532]
32,[0],[0.68591],[0.],-0.07101584180944132,92.06559578687893,0.4016286084830143,0.001214448713163683,[-3.00202]
33,[7],[0.87995],[0.],-0.35096731381425084,116.35805418888083,0.16602492978302177,0.20097935104651327,[-6.95678]
34,[10],[0.62332],[0.],-0.37063591257763306,118.23302433651025,0.16032413773084378,0.22107467498559163,[-4.89383]
35,[28],[5.66914],[0.],-0.13595562272835737,98.09315076203208,0.24742972955273854,0.058841797692247795,[-6.13685]
36,[4],[5.51167],[0.],-0.1574672382426281,100.00470708541712,0.24793498633717004,0.060582721710805566,[-6.24561]
37,[57],[5.36254],[0.],-0.6568702222680336,143.14756800709526,0.05115695235474454,0.7054919241087106,[-5.20077]
38,[92],[-0.11722],[0.],-0.5894508404374406,137.229686946895,0.06400691153784147,0.6393114290144031,[-4.76663]
39,[5],[5.08769],[0.],-0.2455310996556599,107.38696466680541,0.20844577383778629,0.1267117091468808,[-6.47908]
40,[70],[4.96049],[17.25],-0.19279735666226627,102.61592217980268,0.24161755224206283,0.07838138432895059,[-6.71541]
41,[69],[5.26023],[0.],-0.1573736736505955,100.24766706313896,0.25016894390042455,0.07081268075046306,[-6.5431]
42,[23],[1.19227],[0.],-0.26078653303171917,108.94653956704816,0.17252522772030282,0.22131071316087506,[-7.75717]
43,[12],[1.97463],[0.],-0.1848848376040393,102.04677357031947,0.35830594206780414,0.009830813808353586,[-5.36099]
44,[85],[5.47043],[0.],-0.20972564300448582,103.72627137090954,0.3515640855693121,0.012295671786869081,[-4.61811]
45,[84],[0.87987],[0.],-0.20357408291095558,102.61718999329739,0.36570363342898776,0.009765324611674193,[-5.47819]
46,[38],[-7.19578],[13.98],-0.39629803134565567,118.21340811046794,0.2462938451698023,0.09150727737994967,[-12.22894]
47,[13],[1.22018],[0.],-0.20102330636431898,103.57839253599049,0.3597934453636775,0.012991287211834665,[-4.02022]
48,[87],[5.13635],[12.02],-0.23450333356008168,105.62975505575812,0.3467089883955279,0.018249463690892097,[-3.88465]
49,[8],[-0.66384],[0.],-0.21968007788367405,106.64894683376505,0.3451036437745183,0.020248415822753427,[-2.97408]
50,[72],[-0.55961],[0.],-0.251004695064734,108.40138183384693,0.32576186334254703,0.030935760493281256,[-2.21545]
51,[15],[-0.25933],[0.],-0.30694129550298244,111.99705706397937,0.3042635465226682,0.047288394896658356,[-2.04432]
52,[56],[6.20834],[12.15],-0.33404215643433277,112.7880247322641,0.29788318753879545,0.0553660301230928,[-3.95646]
53,[6],[-0.23252],[0.],-0.2654770338473027,109.59449782003783,0.318978834614968,0.04207873817872315,[-1.61405]
54,[9],[0.23498],[0.],-0.2895512666042739,109.94940383076546,0.3168764806229403,0.04634653257595553,[-1.28266]
55,[61],[3.77931],[15.29],-0.4456283172156059,120.95133385275258,0.24790648955330838,0.12809173736478402,[-7.85139]
56,[82],[4.80072],[0.],-0.32731801051522225,113.65417812144209,0.30741658433422736,0.06045098627534748,[-7.03792]
57,[62],[4.72123],[25.],-0.6727035352818269,140.1670946168781,0.16371199661035948,0.3329468707290203,[-7.10531]
58,[21],[4.06763],[0.],-0.24272808681256008,101.52940828175647,0.262802587472267,0.121494958480508,[-8.98566]
59,[83],[4.97365],[0.],-0.11631547599870506,88.92167262911002,0.4246636087087255,0.010998795605739764,[-7.47354]
60,[66],[5.28511],[30.36],-0.08905657669111444,84.10655902270477,0.3976439610518392,0.01986575253582126,[-8.38443]
