sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[51],[8.96371],[10.32],0.29440162876636955,58.86446202799573,0.7413638048976383,4.2255715547870036e-14,0.5220685111989459,[-12.54219]
21,[65],[8.12841],[16.91],0.27967804466896684,60.88315046908331,0.8011528530037223,1.7269853010963842e-17,0.5220685111989459,[-11.25251]
22,[80],[13.53467],[24.6],0.5249319944402476,40.23649128568939,0.7839348965617035,3.877757293432909e-16,0.8226284584980238,[-27.71341]
23,[61],[12.21002],[15.29],0.4138720233634642,48.1360357858298,0.7085153289367634,4.778714286203326e-12,0.8173583662714097,[-22.64997]
24,[63],[14.02925],[24.95],0.46821299061812316,43.9030520537526,0.7263644323947125,1.1064012433430565e-12,0.8173583662714097,[-25.69523]
25,[62],[20.40792],[25.],0.5250126060608269,37.78425886290442,0.7614785873885578,3.0565614244369346e-14,0.8234519104084321,[-29.13419]
26,[60],[17.30955],[26.45],0.4943679910412513,38.57899440965451,0.7457348723951741,2.969792125788565e-13,0.8712121212121212,[-25.09654]
27,[78],[16.23095],[0.],0.5836431322363635,29.985759651904633,0.7705679917949183,2.4411077148906052e-14,0.5306324110671937,[-24.01165]
28,[91],[14.66237],[16.11],0.5095329348262181,35.46118069855918,0.7804567905441261,1.112559438346964e-14,0.8173583662714097,[-19.98787]
29,[70],[16.27048],[17.25],0.5395959690412906,33.249774390126895,0.7579442276045916,2.673538206647053e-13,0.8173583662714097,[-22.08205]
30,[59],[15.88138],[17.51],0.6270864310758024,26.758106567877324,0.8343213836591415,1.1085182029253167e-17,0.8173583662714097,[-18.72184]
31,[46],[13.50651],[13.58],0.590584167720754,29.124671393506723,0.7897409205043499,1.4456513865290346e-14,0.8173583662714097,[-19.29355]
32,[58],[15.13554],[16.88],0.6675540999130491,23.788210868279258,0.8387413752616555,1.7612837067769895e-17,0.8173583662714097,[-18.96875]
33,[66],[16.86346],[30.36],0.5672368941188388,30.741594374038822,0.8167858727822568,1.01351587758347e-15,0.8173583662714097,[-18.17144]
