sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[61],[20.13285],[15.29],0.45891029376373405,42.869888522577476,0.7169823788463628,6.725539906158854e-13,0.630764163372859,[-30.52145]
21,[64],[7.27489],[20.7],0.01403172259110308,78.57561846742897,0.7737363935427765,1.0154763436512874e-15,0.5220685111989459,[-13.45607]
22,[67],[14.15253],[19.15],0.3772251321282508,49.0185851986802,0.7608572366331119,8.822677652554233e-15,0.5220685111989459,[-22.64346]
23,[90],[12.21748],[20.26],0.3655965846131599,49.579458319488786,0.6482458679719302,9.854603550609647e-10,0.8218050065876152,[-26.0201]
24,[81],[16.0825],[23.13],0.4371408459403273,43.429139552157466,0.6618151947723482,4.4337289045511895e-10,0.8218050065876152,[-23.44421]
25,[91],[17.22841],[16.11],0.46201738518658997,40.305696712063764,0.6938422782330564,3.853803013362197e-11,0.8218050065876152,[-25.76806]
26,[63],[19.2903],[24.95],0.4797253220420017,39.01641185933087,0.7258100264102791,2.515395727941365e-12,0.8218050065876152,[-22.44102]
27,[60],[20.17558],[26.45],0.42030216901402884,41.502499047726324,0.6620959013897242,1.0520843619628518e-09,0.8712121212121212,[-24.945]
28,[71],[15.19393],[15.85],0.41925692471052534,38.97329465925039,0.6781169658765488,3.9726188294499617e-10,0.5220685111989459,[-19.35166]
29,[59],[16.23484],[17.51],0.3339084718092912,44.59822795343032,0.5802229997046792,4.067723592270399e-07,0.5767457180500659,[-22.63162]
30,[73],[16.82918],[17.25],0.30995584066269677,45.71430165677988,0.5706873431995084,8.497096457853759e-07,0.5569828722002635,[-24.21455]
31,[58],[13.70576],[16.88],0.38380457656825595,40.39227790031001,0.628912904288928,3.3948745453340044e-08,0.39591567852437415,[-23.72917]
32,[29],[12.69219],[0.],0.3650646863986141,41.207329602244165,0.6103108766540316,1.3906962220282486e-07,0.39591567852437415,[-21.68976]
33,[66],[16.6096],[30.36],0.35486419332940833,42.100751893782196,0.6159434867493186,1.2658631410895882e-07,1.0,[-22.10679]
