sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[71],[9.61257],[15.85],0.31143538464298404,57.443422925765255,0.765891700748383,1.876140083387704e-15,0.5220685111989459,[-12.55432]
21,[63],[13.88102],[24.95],0.59789499258715,33.70416448092133,0.8141173830304859,2.0031575194493204e-18,0.8218050065876152,[-20.48245]
22,[62],[19.18169],[25.],0.4058299005580477,48.205174750521344,0.6837754144945462,3.59828466271802e-11,0.8173583662714097,[-27.32286]
23,[60],[15.23205],[26.45],0.47134304747355504,41.35757448069461,0.7060020587131266,6.128463692195048e-12,0.5036231884057971,[-29.79239]
24,[80],[17.2923],[24.6],0.5797777917759079,31.25836720327964,0.7648581816270424,1.2869428531197393e-14,0.5036231884057971,[-27.7228]
25,[91],[16.3747],[16.11],0.46488165310971363,38.12865150412402,0.6858150653157159,7.908419772841817e-11,0.0,[-28.60962]
26,[78],[19.77087],[0.],0.5346343524371766,33.12323668748492,0.7352254376143496,9.386219459722635e-13,0.5036231884057971,[-26.81368]
27,[59],[16.89994],[17.51],0.6132408991788393,27.62657015219188,0.7923387015073634,1.3846713573446163e-15,0.5036231884057971,[-24.55903]
28,[61],[21.2726],[15.29],0.6388340781774478,25.62300056258448,0.8085462056370558,2.22138335632706e-16,0.5036231884057971,[-22.21868]
29,[46],[12.50804],[13.58],0.647579988937758,25.032216750339117,0.8293391152806411,1.423376448242969e-17,0.8173583662714097,[-21.04393]
30,[25],[8.99611],[0.],0.6063567595651949,28.13782501807,0.8142078754992914,2.8120051885965095e-16,0.8173583662714097,[-24.18352]
31,[58],[15.79706],[16.88],0.6982978859224294,21.667293263166428,0.8415684636153896,5.79441090599286e-18,0.8173583662714097,[-20.6145]
32,[66],[15.20422],[30.36],0.6116875609575969,27.734384592177495,0.813812112691953,8.981291652323014e-16,0.8173583662714097,[-17.04625]
