sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[80],[9.87164],[24.6],0.4546298831381069,46.27106676474665,0.7356902294401803,8.266149117292461e-14,0.8173583662714097,[-30.8148]
21,[61],[14.17834],[15.29],0.5448461745063282,37.47682607570655,0.7702532381036366,1.6359462875875284e-15,0.5036231884057971,[-25.20709]
22,[60],[12.71384],[26.45],0.49287707312723406,41.96947925319997,0.7793971748658235,7.382501504074284e-16,0.8173583662714097,[-20.73794]
23,[62],[17.00913],[25.],0.595424557723982,31.993170275651032,0.8113845295425881,9.492487102768624e-18,0.8234519104084321,[-23.74285]
24,[78],[21.69425],[0.],0.4927804820214714,38.500836873072,0.7041914576341346,1.0382167758949748e-11,0.0,[-30.78259]
25,[25],[13.4172],[0.],0.5281635745753172,35.94157201644752,0.7517453035010928,9.813743990411091e-14,0.8218050065876152,[-29.51092]
26,[64],[19.40672],[20.7],0.6528272783208111,26.53266888749663,0.8231828888594721,7.04267323523907e-18,0.8218050065876152,[-28.15774]
27,[48],[9.95895],[0.],0.5695123029844684,32.29636347271421,0.758005909436502,1.1124446464327182e-13,0.8218050065876152,[-30.40996]
28,[63],[21.05984],[24.95],0.5486303416275364,33.980302208882,0.7768770515063188,1.7580447991912132e-14,0.8218050065876152,[-26.46529]
29,[73],[16.97971],[17.25],0.4191759570239081,41.687716146183206,0.6508881109193327,4.3637697118803795e-09,0.6673254281949935,[-24.00462]
30,[66],[16.24428],[30.36],0.519749329991611,34.26817245201499,0.7305229761650448,7.316202275269153e-12,0.8173583662714097,[-23.5525]
