sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20.0,42.0,12.395787239074707,16.17,0.3276676254572338,54.54751797895096,0.6350860220730187,1.2216778050095117e-09,0.532608695652174,12.395787239074707
21.0,71.0,16.343502044677734,15.85,0.5184618824395852,39.18639813478703,0.7231660004641963,4.996601004331833e-13,0.5220685111989459,16.343502044677734
22.0,35.0,14.768086433410645,0.0,0.5699921275829845,35.12153260807506,0.7681965090779935,3.3965610232352763e-15,0.0,14.768086433410645
23.0,50.0,18.584911346435547,10.43,0.5576344189345384,36.229309868379474,0.7476386456998594,6.869375859473795e-14,0.501427316644708,18.584911346435547
24.0,36.0,12.449193954467773,8.07,0.39947191222474,49.840963408312874,0.7391298036659956,2.7547099284055415e-13,0.4169960474308301,12.449193954467773
25.0,81.0,18.55181312561035,23.13,0.3966721221748041,50.79898818758936,0.6967736780777957,2.946754778642573e-11,0.7618577075098814,18.55181312561035
26.0,73.0,13.185197830200195,17.25,0.5100548181549711,40.21673371357901,0.7875017544214975,1.649307934155529e-15,0.5681818181818182,13.185197830200195
27.0,52.0,21.154043197631836,21.93,0.3205050129760961,55.712579651222576,0.6397936782051765,5.590243129950774e-09,0.5812747035573123,21.154043197631836
28.0,87.0,18.179035186767578,12.02,0.6249476774292462,30.06228585319507,0.8013345640958706,6.436931176599864e-16,0.39591567852437415,18.179035186767578
29.0,54.0,17.885957717895508,17.36,0.4837033110497032,41.86054595442711,0.7304291012958535,5.0043763952011255e-12,0.5342555994729907,17.885957717895508
30.0,55.0,10.64909839630127,19.15,0.3192194383337611,55.00872639188201,0.6714334498447407,1.2593856192493165e-09,0.5154808959156785,10.64909839630127
31.0,56.0,16.711116790771484,12.15,0.5077849304360214,39.29751913253834,0.7857513526197428,2.4075596818790305e-14,0.40019762845849804,16.711116790771484
32.0,51.0,16.478696823120117,10.32,0.3749851963148597,50.449594954589855,0.6560390183894028,7.123310279059242e-09,0.3399209486166008,16.478696823120117
33.0,67.0,14.267805099487305,19.15,0.44480952187232725,45.45095714322507,0.7537304246368876,2.375309072262017e-12,0.630764163372859,14.267805099487305
34.0,66.0,13.28217887878418,30.36,0.4127901549688492,47.410547036807365,0.7331889650076621,2.7136551037916068e-11,1.0,13.28217887878418
