sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[90],[15.33137],[20.26],0.4279632142686184,45.2417132706958,0.656321593951794,2.177171471686535e-10,0.6673254281949935,[15.33137]
21,[64],[19.81992],[20.7],0.3066369099445866,54.09090641811045,0.5962807671492634,2.602139555976116e-08,0.5927206851119894,[19.81992]
22,[61],[16.93748],[15.29],0.31001355512239637,52.91218102869881,0.5865512216165654,6.156672249710475e-08,0.5036231884057971,[16.93748]
23,[81],[21.76113],[23.13],0.285455903475311,54.93762188109551,0.6000750031019753,3.1883057342769633e-08,0.7618577075098814,[21.76113]
24,[63],[18.53858],[24.95],0.17627266161161936,61.25553843502261,0.5019847481448515,9.537901302255867e-06,0.8218050065876152,[18.53858]
25,[67],[18.62761],[19.15],0.20668636097310822,56.132274108083486,0.5421796779285175,1.4959966291815957e-06,0.630764163372859,[18.62761]
26,[60],[21.66826],[26.45],0.1466020616760514,59.342168925137884,0.5292736228532863,3.476074042949965e-06,0.8712121212121212,[21.66826]
27,[91],[23.52075],[16.11],-0.017137385196491772,65.74921275854025,0.4861648834356642,3.0342733559889927e-05,0.5306324110671937,[23.52075]
28,[85],[19.54498],[0.],-0.006944925408481906,64.60560825908777,0.47243997949467265,6.197050608042052e-05,0.0,[19.54498]
29,[89],[15.778],[16.74],0.35733882173626585,41.479507892706,0.6238605122227457,2.826835372823925e-08,0.5513833992094861,[15.778]
30,[87],[14.93699],[12.02],0.3324349310671415,42.6082322031672,0.5920536965002487,2.5657761669540814e-07,0.39591567852437415,[14.93699]
31,[55],[16.62935],[19.15],0.4035308258170168,38.34327348001569,0.658214944738384,4.560749458587894e-09,0.5154808959156785,[16.62935]
32,[56],[17.82596],[12.15],0.2591684252092561,46.309945111360726,0.5599600267052192,2.2225936340872208e-06,0.40019762845849804,[17.82596]
33,[51],[18.59301],[10.32],0.270270631462762,45.88041217958301,0.55408440998133,3.6117160756417325e-06,0.3399209486166008,[18.59301]
34,[82],[15.69546],[0.],0.18143232773933338,52.03300832914529,0.4866962974688649,8.045062058716349e-05,0.0,[15.69546]
35,[68],[15.10211],[19.27],0.4980207886250486,32.17187626738419,0.7226691469816467,1.0324309557083978e-10,0.8173583662714097,[15.10211]
36,[59],[19.15291],[17.51],0.47292001097846603,32.67612662476391,0.6892033612949876,2.208329865847521e-09,0.5767457180500659,[19.15291]
37,[66],[18.04634],[30.36],0.451561148015746,33.19129184403321,0.6729711203109671,9.773766029364123e-09,1.0,[18.04634]
