sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[82],[18.03785],[0.],0.21615536708601446,62.376288074807285,0.6161820386520722,5.0944261289092164e-09,0.0,[70.4]
21,[70],[12.46422],[17.25],0.4786192300057751,41.705029279582135,0.7134530456366129,1.4085267570589116e-12,0.5681818181818182,[68.9]
22,[60],[19.34459],[26.45],0.5687556009014167,34.346386262363275,0.7861824189663341,2.8027658525634155e-16,0.8712121212121212,[68.9]
23,[91],[21.2615],[16.11],0.44734502101659124,41.631899570183855,0.7258342704585059,7.992683640691499e-13,0.5306324110671937,[69.8]
24,[61],[19.1911],[15.29],0.43038953547341874,42.78612725056832,0.7453388828406715,1.3600140994597208e-13,0.8218050065876152,[66.7]
25,[63],[19.79175],[24.95],0.38818346487357636,45.93244311593021,0.7037775286993586,1.5317309844625738e-11,0.8218050065876152,[66.5]
26,[90],[17.40579],[20.26],0.449718466805727,39.096110330836005,0.722040000577889,3.6908035686929005e-12,0.6673254281949935,[66.]
27,[81],[22.64633],[23.13],0.3946493513489412,41.82024392722856,0.7079756209641968,2.086106482183366e-11,0.7618577075098814,[65.5]
28,[73],[18.0053],[17.25],0.13156876086104896,56.948300706349144,0.6205349476477738,2.7352604071177816e-08,0.5681818181818182,[61.]
29,[48],[18.30947],[0.],0.18910178229713592,52.29215756156075,0.6207551585027345,3.464219336072527e-08,0.0,[60.5]
30,[58],[15.50116],[16.88],0.4504755209492499,35.728643365617756,0.7048475654566378,7.997591046471894e-11,0.5663702239789197,[61.2]
31,[64],[18.44879],[20.7],0.43947607222143914,35.86566364987978,0.7136161038485436,5.234935635931999e-11,0.6818181818181818,[60.5]
32,[67],[17.54167],[19.15],0.07494656981107284,56.59066127519446,0.6269850853775591,4.9757718808065816e-08,0.630764163372859,[58.]
33,[59],[18.0297],[17.51],0.4561038449669388,32.04015244362276,0.7296570034219941,2.5516512159453205e-11,0.5767457180500659,[59.]
34,[87],[17.16678],[12.02],0.021099332287252692,55.99409111166611,0.5725459633021491,1.7540938920461941e-06,0.39591567852437415,[55.1]
35,[56],[17.56519],[12.15],0.39693978576516464,34.52360138155407,0.7066527823965326,4.0023553934835894e-10,1.0,[56.]
36,[78],[16.38785],[0.],0.30864119545150526,39.565563254420255,0.6377005936448069,7.30161447669459e-08,1.0,[55.7]
37,[66],[16.81675],[30.36],0.6378577272552427,20.9606741884234,0.8024738741041606,6.127836457634879e-14,1.0,[53.8]
