sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[16],[2.72864],[0.],-0.1425704270351853,96.63998990488048,0.3234592294274575,0.004936852970098018,0.8102766798418973,[-6.3341]
21,[4],[5.24095],[0.],0.14337224151185823,72.60299021221299,0.5991792167336742,2.1392012796352826e-08,0.8102766798418973,[-6.12164]
22,[76],[-4.33481],[0.],0.2598830692593751,62.83939905941119,0.6519489023335371,5.535992574699784e-10,0.8102766798418973,[-8.10178]
23,[92],[2.89411],[0.],-0.16521915755535832,99.07842085155781,0.3440801439387897,0.003302440400163219,0.8102766798418973,[-7.0785]
24,[29],[4.58583],[0.],0.08948462650605793,77.5099668792573,0.591523682259283,6.959382654181194e-08,0.8102766798418973,[-6.53951]
25,[56],[5.62115],[12.15],0.17817029981430899,70.01601126773302,0.6135880178088154,2.073844807956442e-08,0.8102766798418973,[-6.79351]
26,[82],[-0.99176],[0.],0.20585293535191052,68.53752148408212,0.6022396473316262,5.542112396599537e-08,0.8102766798418973,[-4.86487]
27,[19],[3.29202],[0.],-0.20153692106060928,103.77374830047314,0.3391849757640814,0.004987248450698579,0.8102766798418973,[-6.49387]
28,[10],[3.03642],[0.],-0.2174833058092258,105.18568447449323,0.33970927370696374,0.005261211407370208,0.8102766798418973,[-6.4949]
29,[40],[-2.12457],[20.7],0.18475502724663695,70.42523906538905,0.6079829041700242,7.814108162047236e-08,0.8102766798418973,[-7.30872]
30,[13],[2.31897],[0.],-0.22267112360957575,104.79524012274038,0.3392347509803484,0.006102597548629727,0.8102766798418973,[-6.48585]
31,[7],[4.61],[0.],-0.2410980779299532,106.35926122839834,0.3386409183862065,0.006632165088219625,0.8102766798418973,[-6.51943]
32,[90],[1.8648],[20.26],-0.07755662332525937,92.28188219665621,0.43599061986271775,0.00039691801313744687,0.8102766798418973,[-6.94122]
33,[18],[2.24749],[0.],0.5415209574702952,39.02738733932239,0.7534933079688282,2.4347062196036236e-12,0.8102766798418973,[-7.11958]
34,[39],[4.486],[0.],0.5355423111131912,39.507429656419596,0.7522522128946763,4.238233748920268e-12,0.8102766798418973,[-6.68362]
35,[3],[4.662],[0.],0.5315638215462519,39.791814979777726,0.7526066730704989,6.2607405501377245e-12,0.8102766798418973,[-6.41782]
36,[27],[4.5],[0.],0.5274137112010904,40.062150128618576,0.7532927088679565,8.962421517311078e-12,0.8102766798418973,[-6.45258]
37,[12],[1.5263],[0.],0.5221278513304071,40.39625156653092,0.7535446543338387,1.3414255560331755e-11,0.8102766798418973,[-6.3166]
38,[17],[-0.01712],[0.],0.5119476105909853,41.10562731755673,0.7497099924081934,2.958320997291851e-11,0.8102766798418973,[-5.58561]
39,[1],[2.7455],[0.],0.5468314820632891,37.99155477043395,0.7609575801842391,1.5586809151767025e-11,0.5681818181818182,[-7.69522]
40,[85],[2.38046],[0.],0.5385356428192016,38.46773960094491,0.7568575895528852,3.569068967471669e-11,0.5681818181818182,[-5.60955]
41,[93],[2.84756],[0.],0.5273935412716533,39.12663125391146,0.7521311460796596,8.45775264825627e-11,0.5681818181818182,[-4.39632]
42,[15],[0.79853],[0.],0.4829184075202231,42.458551458977844,0.7557419398516146,9.409836683365895e-11,0.8102766798418973,[-6.77879]
43,[84],[-0.18536],[0.],0.4959543900802442,40.98771743171027,0.7363456532177142,7.363121486011469e-10,0.5681818181818182,[-2.35793]
44,[75],[-0.97669],[3.92],0.4791454224934273,41.873154157409374,0.7271110848700917,2.2354603491583857e-09,0.5681818181818182,[-1.90073]
45,[79],[-1.39515],[0.],0.5316352367122748,37.87526415871969,0.7437383947857928,9.207415213226775e-10,0.5681818181818182,[-2.2925]
46,[0],[0.19664],[0.],0.5234768618165142,37.98395566174978,0.735489405422251,2.6130167560945563e-09,0.5681818181818182,[-1.86818]
47,[9],[0.99921],[0.],0.31106556356577597,53.99974237991018,0.7245698735034511,8.519400321354186e-09,0.8102766798418973,[-5.84593]
48,[38],[4.338],[13.98],0.28724926855002897,54.78222766769623,0.718996985823393,1.820885012264638e-08,0.8102766798418973,[-5.21374]
49,[50],[3.465],[10.43],0.3235759932194341,53.102728649491375,0.7239110746003091,1.915310197439745e-08,0.8102766798418973,[-4.26191]
50,[33],[3.83],[13.18],0.296334141987736,56.44116888196424,0.72123137191145,3.339735291767374e-08,0.8102766798418973,[-6.0642]
51,[31],[0.1784],[4.97],0.47226775651081665,43.30455111392798,0.7070643468263839,1.1582385876873561e-07,0.5681818181818182,[-1.66551]
52,[37],[4.03173],[13.22],0.5136147955545486,40.225520664230785,0.758204657862334,6.045128809888591e-09,0.8102766798418973,[-6.83853]
53,[89],[5.50951],[16.74],0.5405047418093818,38.92207313019577,0.768164406882547,4.558157114478522e-09,0.8102766798418973,[-5.32486]
54,[86],[7.15128],[12.67],0.5857737326318337,35.7696143568382,0.7867611626752399,1.7563704717128762e-09,0.8102766798418973,[-3.53574]
