sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[80],[19.42049],[24.6],0.40228550955626385,49.83453493771959,0.6644539292219699,1.0839863527866262e-10,0.8102766798418973,[-28.05613]
21,[28],[16.15997],[0.],0.41344273073282534,47.371911512314966,0.6513265640146726,4.38716112279737e-10,0.630764163372859,[-22.90559]
22,[63],[14.56458],[24.95],0.5213405337706184,38.77069965255358,0.7372242301896136,1.533739824825515e-13,0.5681818181818182,[-23.09333]
23,[64],[18.6641],[20.7],0.6190192206984291,29.737798087216984,0.8109028043526262,1.0276858469564735e-17,0.630764163372859,[-30.84658]
24,[60],[19.17719],[26.45],0.6185412630801529,29.28115491433109,0.792285392147746,3.099725819414793e-16,0.8234519104084321,[-25.29621]
25,[62],[20.8247],[25.],0.5792311766250737,30.57300062954301,0.769809409825306,1.0768194130706161e-14,0.8234519104084321,[-25.32634]
26,[91],[22.23787],[16.11],0.5470296091777131,31.290202873015353,0.7569294165089758,8.182554914852763e-14,0.5036231884057971,[-29.66279]
27,[61],[22.49434],[15.29],0.5302488319507674,32.354318163871746,0.7410623413648982,7.483352538772871e-13,0.5036231884057971,[-24.59812]
28,[27],[12.40556],[0.],0.5695627227437323,29.635461923631386,0.7641535909022849,8.3695469059636e-14,0.5681818181818182,[-21.2133]
29,[73],[17.79623],[17.25],0.5953184048235887,27.99632210891611,0.7790482241809088,2.1430805609748674e-14,0.630764163372859,[-25.62006]
30,[59],[16.84712],[17.51],0.49374509481258533,34.71499500922425,0.7035635141948825,8.953742011649618e-11,0.630764163372859,[-22.29323]
31,[29],[11.16281],[0.],0.44325084700470974,37.74782607387183,0.6713046222372625,1.7295520809819873e-09,0.630764163372859,[-24.13311]
32,[58],[14.92228],[16.88],0.5397447898246768,31.38033937194389,0.7667332316047755,3.735448809958324e-13,0.5559947299077733,[-15.90406]
33,[67],[15.44824],[19.15],0.42231569825037374,39.0359045747065,0.6613574898362751,6.5544961264108335e-09,0.3316864295125165,[-17.60588]
34,[66],[19.09456],[30.36],0.4852251872317235,33.97734631263903,0.7010353587619084,4.457325395871762e-10,1.0,[-22.10852]
